slate,variance_idx,scoring_env,anchor_conc,pool_size,gini,salary_eff,numTeams,totalEntries
4-6-26,2.8811873541624275,123.0888,1.0885264997087944,168,0.26942879919531226,0.6730683144685704,14,47562
4-8-26,3.7140207701335983,67.84440000000001,1.078666376116801,93,0.29247629016398624,0.7282039290970003,8,6274
4-12-26,3.132396896099308,194.1672,1.4669237614951054,253,0.27410431200562624,0.676563825575073,22,13071
4-14-26,3.060003738609905,172.2124,1.184700206753963,229,0.2768900812286903,0.7277824012058899,20,15922
4-15-26,2.8480191995263735,144.78040000000001,1.050336348874971,181,0.23562192026280437,0.6927205886199159,16,13071
4-17-26,3.117423581805433,173.5428,1.0690448791714615,233,0.2872602065085524,0.7307794439338081,20,29411
4-18-26,3.7028151117694414,109.0328,1.0546253088114192,139,0.28597116618961904,0.7419283696733531,12,9748
4-19-26,2.7792916284200757,131.9076,1.0379746835443038,188,0.258126125865424,0.6887271635278739,16,13071
4-20-26,3.2236980190625806,143.07319999999999,1.0288297092597116,187,0.26851318963424714,0.6872919003014247,16,45813
4-21-26,2.971205515408732,87.55160000000001,1.5152230971128609,127,0.2927997616142695,0.5691875865167447,10,9803
4-22-26,2.908922344513204,161.2176,1.1844748858447487,235,0.3054570374587708,0.5288748021126835,18,13071
4-23-26,3.1396408341670403,110.14999999999999,1.1746842246707874,157,0.3259969715178462,0.5966164272967804,12,9803
4-24-26,3.2340826293287748,227.2568,1.1591301346220229,345,0.3109484386928324,0.5567766789007069,26,29411
4-25-26,3.4346080334074016,128.6004,1.1900898290350623,187,0.3150877845821208,0.5633180088000372,14,9803
4-25-26-early,2.771766534871922,81.99040000000001,1.2188765182186234,128,0.304250282307457,0.6163372396051949,12,9693
4-26-26,3.062771668587197,191.90439999999998,1.1681159420289855,289,0.3034403294558297,0.5591522217853568,22,13071
4-27-26,2.99321174421097,120.89240000000001,1.1910229645093946,180,0.30269677295933606,0.6351436633195875,14,44646
4-28-26,3.0261652073239964,169.37760000000003,1.0650095602294456,260,0.3092575815547631,0.6228330323918249,20,13071
4-29-26,3.2191727038660276,88.19319999999999,1.1349087003222342,132,0.2962834487352158,0.5612135585405393,14,12586
5-1-26,3.071839259326248,198.61439999999996,1.1141776937618146,292,0.3186746690175836,0.6138180730804005,22,27688
5-2-26,2.951705793956862,91.7888,1.2678777393310265,132,0.2963721810135884,0.5271118984016424,10,7843
5-2-26-main,2.953457786096152,105.5936,1.1140500568828215,152,0.3103813471140291,0.6226730289399309,12,9803
5-2-26-night,2.786301291909192,33.1148,1.0931487142600251,48,0.3049082786108661,0.7101546991521466,4,1568
5-3-26,2.840733489029309,148.0948,1.101302460202605,204,0.2966343215072752,0.6165224790372904,16,13071
