entity,total_lineups,pct_4stack,pct_5stack,4s_n_cells,4s_mean_unique,4s_top1_share,4s_top3_share,4s_mean_entropy,4s_mean_lineups,5s_n_cells,5s_mean_unique,5s_top1_share,5s_top3_share,5s_mean_entropy,5s_mean_lineups
V1,3600,0.254,0.746,68,6.71,0.207,0.529,1.826,7.3,201,10.28,0.172,0.423,2.174,11.9
b_heals152,3300,0.246,0.650,45,6.44,0.244,0.576,1.762,7.6,180,8.31,0.223,0.514,1.958,10.2
bgreseth,2400,0.202,0.797,31,5.97,0.282,0.618,1.664,7.6,144,9.19,0.223,0.498,2.035,11.9
needlunchmoney,2850,0.387,0.505,94,5.54,0.283,0.627,1.627,6.7,143,6.52,0.251,0.565,1.779,7.5
nerdytenor,3300,0.377,0.418,104,6.57,0.254,0.572,1.771,7.7,116,7.65,0.195,0.483,1.945,8.4
shaidyadvice,3300,0.067,0.894,5,6.80,0.245,0.582,1.787,8.0,174,12.28,0.180,0.425,2.290,15.6
shipmymoney,3200,0.245,0.684,58,5.84,0.303,0.653,1.626,7.6,159,8.09,0.289,0.596,1.836,12.1
youdacao,2400,0.176,0.820,20,12.40,0.206,0.459,2.233,20.1,121,11.64,0.183,0.419,2.256,15.5
zroth2,3450,0.243,0.652,54,6.83,0.237,0.552,1.827,8.3,172,9.06,0.215,0.494,2.023,11.2
PRO_AVG,,,0.243,,7.05,0.257,0.580,1.787,9.2,,9.09,0.220,0.499,2.015,11.5
